"id","hit","anx_score_1","anx_score_2","n_hesitations","n_errors"
1,0,16,15,6,4
2,1,14,14,7,5
3,1,13,14,5,0
5,1,11,11,10,0
6,0,8,7,1,5
7,NA,13,16,6,4
8,0,5,5,1,2
12,0,22,22,7,5
14,0,6,6,0,8
15,0,22,22,8,5
16,NA,22,23,7,3
17,0,9,9,3,6
18,0,12,11,6,6
19,0,21,21,8,3
22,0,16,16,7,5
23,1,21,18,8,5
25,0,19,19,7,1
28,1,15,14,4,6
29,0,11,11,5,8
30,1,8,7,3,9
31,0,23,22,7,6
32,1,11,12,6,0
35,1,9,7,4,3
36,0,13,14,3,7
37,0,18,18,8,3
38,0,8,7,4,7
39,0,NA,3,4,4
40,NA,7,9,3,NA
42,0,NA,15,5,6
43,1,20,20,8,5
44,0,26,26,12,1
45,0,6,4,0,5
48,0,10,6,4,1
49,1,17,15,5,6
52,1,3,4,0,5
53,0,15,15,6,7
54,0,0,0,0,8
55,0,12,11,3,7
56,0,18,17,6,NA
59,0,34,34,16,NA
60,1,14,15,7,3
61,0,12,10,1,4
62,0,9,9,2,4
63,1,12,11,2,5
65,1,14,12,1,4
66,1,9,8,5,6
67,1,18,17,6,0
68,1,20,20,6,2
69,0,18,16,6,8
71,0,7,7,2,5
72,1,23,23,7,7
73,0,16,16,6,6
74,0,8,10,5,8
75,1,20,18,9,8
76,0,11,12,3,5
77,0,12,13,9,7
78,1,15,14,6,7
79,0,15,15,6,4
80,0,15,14,6,1
81,0,12,12,4,4
82,0,16,13,8,9
83,0,16,16,5,6
85,1,14,12,5,8
86,0,17,15,4,5
87,1,14,13,5,6
88,0,19,21,5,0
90,0,12,9,2,6
91,1,7,11,4,3
93,0,19,18,6,7
94,0,12,14,5,4
95,0,19,16,5,2
96,0,6,6,4,2
97,NA,14,14,5,6
98,1,8,9,5,6
99,0,13,15,0,5
100,0,16,19,8,6
